HAA                ,HFE                ,KFE
-0.004997120704502 ,0.049665861843109  ,-0.07183762185669
-0.00500006088987  ,0.049681299446106  ,-0.07156892411804
-0.004996956791729 ,0.049714499233246  ,-0.07133300893402
-0.005002845078707 ,0.049762838600159  ,-0.0711392938385
-0.00501552876085  ,0.049825423477173  ,-0.07099123590088
-0.005033220630139 ,0.04990177702713   ,-0.07088776223755
-0.005064030177891 ,0.049995773551941  ,-0.07083030335999
-0.005076540168375 ,0.050103300331116  ,-0.07081432931519
-0.005098737310618 ,0.050229125736237  ,-0.07083805196381
-0.00511533068493  ,0.050371223209381  ,-0.07088108651733
-0.005132708698511 ,0.050533049819946  ,-0.07094557874298
-0.005145079921931 ,0.05070709538269   ,-0.07103188626862
-0.005157168954611 ,0.050891869781494  ,-0.07114012830353
