t,x,y,z,qw,qx,qy,qz,x_v,y_v,z_v,wx,wy,wz,left_arm_pitch,left_shoulder_abad,left_shoulder_yaw,left_elbow,left_hip_yaw_joint,left_hip_abad_joint,left_hip_pitch,left_knee,left_ankle,right_arm_pitch,right_shoulder_abad,right_shoulder_yaw,right_elbow,right_hip_yaw_joint,right_hip_abad_joint,right_hip_pitch,right_knee,right_ankle,left_arm_pitch_v,left_shoulder_abad_v,left_shoulder_yaw_v,left_elbow_v,left_hip_yaw_joint_v,left_hip_abad_joint_v,left_hip_pitch_v,left_knee_v,left_ankle_v,right_arm_pitch_v,right_shoulder_abad_v,right_shoulder_yaw_v,right_elbow_v,right_hip_yaw_joint_v,right_hip_abad_joint_v,right_hip_pitch_v,right_knee_v,right_ankle_v
0.5999760252,-0.02320825955,-0.02940851774,0.425843516,0.959933460268833,-0.0136770970995559,0.279868630390913,-0.00377340619987749,0.460538397793299,0.00236802522155177,0.313118311581491,0,0,0,-0.635327347788835,0.156301177581946,0.572841492284708,-0.1465081735,-0.0661013821882277,0.263436660414441,-1.32748182009866,1.7986525517,-0.916727501933362,-0.6440290622687,0.196301498633152,0.734593378265922,-0.2216637963,0.102818879143494,0.055199318950979,-1.32422075252585,1.7756421308,-1.10327285148542,-3.68795747988218,-0.164672932564337,-1.2814315610286,-3.52333222930922,0.737357627464359,0.0624461989238424,2.28626756747699,-1.27009194233382,0.407059154171221,-3.55781860206495,0.36496795845358,-1.72320625797363,-3.62302941100921,0.269201884344242,-0.133842315940011,2.21431568197439,-1.35439471690409,-0.00575461041122178
0.6166420259,-0.01465876419,-0.0293360935,0.433238218,0.960603706412913,-0.0137339839001846,0.277538239703731,-0.00494190390006645,0.512990219663197,0.00434562804260536,0.443699849358586,0,0,0,-0.689575753323018,0.155979739774059,0.563928979286968,-0.2197736048,-0.0549810476427869,0.262327182547932,-1.28316924957941,1.7667688768,-0.910079623643188,-0.700757395596732,0.200775420401466,0.719358473435887,-0.2818130784,0.108706815086151,0.0539230903702513,-1.28188583680283,1.7419625123,-1.09394299673795,-3.25503439671546,-0.0192870391446911,-0.534772148289914,-4.39610153742523,0.667246734571468,-0.0665713320478227,2.6588604739022,-1.91309693752743,0.398888636202565,-3.40383601016126,0.268446032665364,-0.914130816641263,-3.60910113846329,0.353290273332134,-0.0765767746984308,2.54019644455036,-2.02085785943835,0.559813653882052
0.6333080266,-0.00448735567,-0.02932404202,0.442711402,0.961600549987207,-0.0137737324012491,0.274025095824851,-0.0067017474006078,0.610308897922943,0.000723117694336865,0.568413752676728,0,0,0,-0.735076224842986,0.159779791463496,0.574366468281835,-0.2964354468,-0.0407496289272634,0.258928668758351,-1.22626084720913,1.7212576713,-0.902542959558073,-0.749612000372618,0.203198499924937,0.713740258506697,-0.3411507824,0.113101790460031,0.0515659389060982,-1.22850512559321,1.6951929242,-1.08257626379553,-2.73013738202756,0.228012212278197,0.626274364363069,-4.59989432257734,0.853919243836555,-0.203918975569326,3.41464058442535,-2.73078144656504,0.452217914830341,-2.9313934191714,0.145390580925123,-0.337106365847581,-3.56040450664328,0.263709059719424,-0.141434739298499,3.20297065687899,-2.80628741963272,0.682031229149259
0.6499740273,0.00762025411,-0.02939838419,0.454328854,0.963223477841958,-0.0148160259006454,0.268104538511679,-0.0100485591004377,0.726485615712233,-0.00446070844098799,0.697074973721798,0,0,0,-0.774101325299589,0.169348916067974,0.596990047548126,-0.3670916109,-0.0262127734767696,0.255391591761267,-1.15427945853293,1.6614103312,-0.889156312934416,-0.793434312896837,0.201177864122532,0.717342765339813,-0.3946521052,0.123016858768452,0.0459686956804228,-1.16080668789142,1.6331831212,-1.0697997415136,-2.34159959303275,0.57417041897026,1.35746899772366,-4.23953924950933,0.872246180242499,-0.212233100235229,4.31905590140775,-3.59098389453447,0.80323089291949,-2.62944381876924,-0.121242992771823,0.216159047270192,-3.21020764147694,0.594927870633092,-0.335848013355442,4.06206857424347,-3.72073685320317,0.766621969596277
0.666640028,0.02200676695,-0.02949853529,0.467939444,0.965700109504661,-0.0163460323000789,0.258766618001249,-0.0139979691000676,0.863225263155065,-0.006009306119854,0.816668032421242,0,0,0,-0.803998685670171,0.179770735725895,0.625833824430094,-0.4303022006,-0.00910466537320163,0.24960394642514,-1.06448722121785,1.5867259473,-0.870909136369241,-0.827397912841306,0.193707667653675,0.710125773431304,-0.437232903,0.128373315679515,0.0338750030836196,-1.07722686068968,1.5564689194,-1.04903938098142,-1.79391330342267,0.625334166577909,1.7306957680596,-3.79278693418032,1.02652750420009,-0.34727259648607,5.38774952259994,-4.48124209547165,1.09487434289944,-2.03789742697352,-0.44822969849369,-0.433036817795719,-2.55494995869045,0.321400257175283,-0.725650551352918,5.01499002107551,-4.60303603611393,1.24567140646899
0.6833060287,0.03880158534,-0.02978280837,0.483525392,0.969161921875362,-0.0184859502995301,0.245027053193771,-0.0185790750995277,1.00772937025018,-0.0170570663662579,0.935194248491782,0,0,0,-0.825170922789128,0.189816514609352,0.649593851945947,-0.4780613901,0.0073134402505594,0.241181909920871,-0.955969117155778,1.4968973413,-0.842535833256911,-0.846473052843837,0.187685693538179,0.707520603149705,-0.4827772697,0.128401290786322,0.0165679701652692,-0.974867321780827,1.4632892811,-1.01804224786932,-1.27038498918082,0.602770818523762,1.42565861741818,-2.86566587627708,0.985125701078426,-0.50534238272704,6.51134642410479,-5.3899317308921,1.70246621388478,-1.14455413424592,-0.361332885069191,-0.156316462989156,-2.73277119807153,0.0016785734808804,-1.03846347002436,6.14181774928478,-5.59100170324606,1.85990230470226
0.6999720294,0.05808471466,-0.03016422234,0.500985352,0.973408920194864,-0.0210272132998891,0.226931383198803,-0.023131746699878,1.15703399196425,-0.0228857526689052,1.0476394615776,0,0,0,-0.834627356351707,0.203295251842699,0.681301541697914,-0.5256076498,0.024896681654047,0.227717605380746,-0.831462349950815,1.3944569861,-0.797575603486318,-0.850980272469221,0.178558938540716,0.697615302007619,-0.5167047252,0.118269729371558,-0.00313805574367868,-0.855279823142165,1.3560527613,-0.970601344163771,-0.567408686270998,0.808756550295083,1.90253740670774,-2.85288957776175,1.05503664136337,-0.807890554098265,7.47070454671007,-6.14666692051681,2.69772158179457,-0.270443983923758,-0.547627181934697,-0.594341817235466,-2.03572867364634,-0.607917976072358,-1.18240880122775,7.17553663841271,-6.434448295685,2.84656796549548
0.7166380301,0.08001448616,-0.03068421083,0.520150414,0.978083078727236,-0.0231016378006433,0.204878738505705,-0.0290604189008093,1.3158388682895,-0.031200556111821,1.14994966968891,0,0,0,-0.829053852892893,0.219511291697383,0.712645774646791,-0.5686858663,0.0409841078606713,0.208831112055161,-0.69402422438654,1.2806213764,-0.726714554538638,-0.837288728178004,0.168217114052554,0.691797565621599,-0.5427345656,0.0985152214175994,-0.0199233962188427,-0.718638384259034,1.2325218475,-0.903474801708179,0.334423570425822,0.973001270465812,1.88072912710707,-2.58479627328949,0.965284143221254,-1.13323488133448,8.24661705218068,-6.83040951150326,4.25183283159708,0.821525483988316,-0.620534264597909,-0.349078131625211,-1.56185283251548,-1.18531784016776,-1.007160672636,8.19881394119537,-7.41215100272977,4.02775348830943
0.7333040308,0.10482788225,-0.03109441405,0.540712984,0.983072692196068,-0.0222823656999109,0.178315139699287,-0.0357111885998571,1.48886325739804,-0.0246131766933142,1.23380350032026,0,0,0,-0.80289305495905,0.229610918158703,0.731892436944849,-0.5961224422,0.0604644181874402,0.179901687527341,-0.542267739829761,1.1544934126,-0.622453940480962,-0.799688725828369,0.160335687769341,0.694304256750214,-0.5620187085,0.0625149957379039,-0.0229790702495764,-0.563761895936536,1.0950422623,-0.811466379753164,1.56971059852667,0.606001802299217,1.15484588321529,-1.64626033527048,1.16886532512679,-1.73583483215743,9.10575292108193,-7.56798022935401,6.25588681618594,2.25609028983387,-0.472904473309677,0.150407477698895,-1.15709480919439,-2.1600998540517,-0.183347768054138,9.29296062747058,-8.24910472972679,5.52072591446698
0.7499700315,0.1320436194,-0.03129036911,0.562609054,0.987679753731226,-0.0181319686005732,0.149360805304722,-0.0430265688013603,1.63300948079283,-0.0117577734171104,1.31381669748759,0,0,0,-0.755435532825376,0.236700839017565,0.740036412261205,-0.6185202525,0.0774398910082666,0.141907371948427,-0.385813914866892,1.0188848203,-0.477465876022734,-0.742728544616292,0.156441444064471,0.707654814293648,-0.5772659049,0.00725597937313701,-0.0050815664744694,-0.398113430952863,0.9435965525,-0.690819585996756,2.84756511102717,0.425412250154384,0.488658044779495,-1.343922318448,1.01856906923245,-2.27975002898648,9.38760460767704,-8.13684066987948,8.69963148736868,3.41774743907681,-0.233663959036694,0.801065461579784,-0.914868340309139,-3.31567346956651,1.0738931371284,9.93930505377174,-9.08710569056919,7.23909688521781
